DATE|SYMBOL|SHORT VOLUME|TOTAL VOLUME|MARKET
20201230|A|2235|7175|B
20201230|AA|11108|26781|B
20201230|AAAU|5200|8200|B
20201230|AACQ|100|5698|B
20201230|AACQU|0|100|B
20201230|AACQW|300|300|B
20201230|AAIC|1595|2295|B
20201230|AAL|107232|171282|B
20201230|AAMC|100|100|B
20201230|AAN|800|2000|B
20201230|AAOI|4485|7035|B
20201230|AAON|400|1800|B
20201230|AAP|1700|3015|B
20201230|AAPL|101713|256550|B
20201230|AAT|500|500|B
20201230|AAU|5414|6414|B
20201230|AAWW|600|900|B
20201230|AAXJ|4411|13495|B
20201230|AAXN|1903|2503|B
20201230|AB|300|300|B
20201230|ABB|1800|3100|B
20201230|ABBV|5180|8206|B
20201230|ABC|1995|3695|B
20201230|ABCB|800|1100|B
20201230|ABCL|2300|2500|B
20201230|ABCM|3550|3744|B
20201230|ABEO|11665|13640|B
20201230|ABEQ|100|100|B
20201230|ABEV|31300|84819|B
20201230|ABG|800|900|B
20201230|ABM|300|400|B
20201230|ABMD|200|400|B
20201230|ABNB|6404|7707|B
20201230|ABR|2533|3684|B
20201230|ABST|200|200|B
20201230|ABT|4600|6900|B
20201230|ABTX|300|880|B
20201230|ABUS|3864|5538|B
20201230|ACA|300|400|B
20201230|ACAC|100|2791|B
20201230|ACAD|2771|2871|B
20201230|ACAM|6226|12582|B
20201230|ACAMW|0|4082|B
20201230|ACB|25587|30357|B
20201230|ACBI|0|600|B
20201230|ACC|500|2712|B
20201230|ACCD|7900|8200|B
20201230|ACCO|500|500|B
20201230|ACEL|5000|5600|B
20201230|ACER|200|300|B
20201230|ACES|100|100|B
20201230|ACEV|300|400|B
20201230|ACGL|3095|5562|B
20201230|ACH|100|600|B
20201230|ACHC|2200|4320|B
20201230|ACHV|100|100|B
20201230|ACI|3781|13168|B
20201230|ACIA|3563|6938|B
20201230|ACIC|0|100|B
20201230|ACIC+|0|200|B
20201230|ACIU|400|400|B
20201230|ACIW|952|4452|B
20201230|ACLS|250|250|B
20201230|ACM|2000|27974|B
20201230|ACMR|1600|2250|B
20201230|ACN|3800|4500|B
20201230|ACNB|100|100|B
20201230|ACND+|0|1550|B
20201230|ACND=|0|600|B
20201230|ACP|100|100|B
20201230|ACRE|369|469|B
20201230|ACRS|1200|3259|B
20201230|ACRX|3000|4636|B
20201230|ACST|9044|12894|B
20201230|ACTC|100|1640|B
20201230|ACTCU|100|100|B
20201230|ACTG|1200|2000|B
20201230|ACV|300|300|B
20201230|ACWF|200|200|B
20201230|ACWI|1232|7568|B
20201230|ACWV|1559|1859|B
20201230|ACWX|13365|15565|B
20201230|ACY|1500|1700|B
20201230|ADAP|1000|1100|B
20201230|ADBE|4045|11086|B
20201230|ADC|1553|1753|B
20201230|ADCT|2424|2524|B
20201230|ADI|4375|5075|B
20201230|ADIL|100|1208|B
20201230|ADM|2709|4072|B
20201230|ADMA|3000|3500|B
20201230|ADMP|25767|26067|B
20201230|ADMS|100|400|B
