DATE|SYMBOL|SHORT VOLUME|TOTAL VOLUME|MARKET
20201216|A|6559|11659|B
20201216|AA|7649|19263|B
20201216|AAAU|0|5660|B
20201216|AACQW|5611|6111|B
20201216|AAIC|200|200|B
20201216|AAL|120334|253304|B
20201216|AAME|0|100|B
20201216|AAN|4632|12420|B
20201216|AAOI|4506|7906|B
20201216|AAON|300|300|B
20201216|AAP|6422|12683|B
20201216|AAPL|131768|415411|B
20201216|AAT|100|1800|B
20201216|AAU|100|100|B
20201216|AAWW|1229|1229|B
20201216|AAXJ|11700|17060|B
20201216|AAXN|1302|1702|B
20201216|AB|200|200|B
20201216|ABB|2760|6260|B
20201216|ABBV|21606|39326|B
20201216|ABC|519|919|B
20201216|ABCB|900|1300|B
20201216|ABCL|2500|3810|B
20201216|ABCM|500|600|B
20201216|ABEO|5920|6920|B
20201216|ABEV|126902|312489|B
20201216|ABG|200|300|B
20201216|ABIO|445|645|B
20201216|ABM|707|907|B
20201216|ABMD|700|900|B
20201216|ABNB|78755|99514|B
20201216|ABR|4409|6944|B
20201216|ABST|300|300|B
20201216|ABT|5300|19866|B
20201216|ABTX|500|1000|B
20201216|ABUS|8500|14401|B
20201216|ACA|300|400|B
20201216|ACAD|1800|5490|B
20201216|ACAM|400|1400|B
20201216|ACAMW|0|300|B
20201216|ACB|22658|40234|B
20201216|ACBI|400|500|B
20201216|ACC|4761|8721|B
20201216|ACCD|850|2946|B
20201216|ACCO|2489|5483|B
20201216|ACEL|500|1600|B
20201216|ACER|100|100|B
20201216|ACET|333|333|B
20201216|ACEV|0|600|B
20201216|ACGL|8438|17675|B
20201216|ACH|100|100|B
20201216|ACHC|500|1600|B
20201216|ACHV|0|300|B
20201216|ACI|6217|11188|B
20201216|ACIA|300|6331|B
20201216|ACIC=|0|100|B
20201216|ACIU|100|400|B
20201216|ACIW|700|3100|B
20201216|ACLS|400|700|B
20201216|ACM|2200|6700|B
20201216|ACMR|100|200|B
20201216|ACN|5300|11506|B
20201216|ACOR|2200|2300|B
20201216|ACRE|2718|4068|B
20201216|ACRS|10000|21050|B
20201216|ACRX|3535|3635|B
20201216|ACST|400|1500|B
20201216|ACTC|100|1545|B
20201216|ACTCU|0|1477|B
20201216|ACTCW|100|300|B
