DATE|SYMBOL|SHORT VOLUME|TOTAL VOLUME|MARKET
20201209|A|14619|21533|B
20201209|AA|11242|49666|B
20201209|AAAU|6490|13490|B
20201209|AACQ|0|631|B
20201209|AACQU|900|1100|B
20201209|AACQW|0|200|B
20201209|AAIC|700|700|B
20201209|AAL|277089|567476|B
20201209|AAN|6455|15871|B
20201209|AAOI|900|1200|B
20201209|AAON|0|100|B
20201209|AAP|4550|9729|B
20201209|AAPL|179785|422149|B
20201209|AAT|200|1100|B
20201209|AAU|100|100|B
20201209|AAWW|1500|2900|B
20201209|AAXJ|21277|25675|B
20201209|AAXN|1700|2150|B
20201209|AB|1600|4064|B
20201209|ABB|8008|9208|B
20201209|ABBV|15348|32310|B
20201209|ABC|5914|8214|B
20201209|ABCB|1100|2170|B
20201209|ABCM|600|600|B
20201209|ABEO|4425|5125|B
20201209|ABEQ|100|100|B
20201209|ABEV|35143|92613|B
20201209|ABG|400|800|B
20201209|ABM|870|1270|B
20201209|ABMD|100|100|B
20201209|ABR|8157|15346|B
20201209|ABST|1100|1500|B
20201209|ABT|14997|35046|B
20201209|ABTX|0|300|B
20201209|ABUS|18772|51737|B
20201209|ACA|300|300|B
20201209|ACAD|1000|4430|B
20201209|ACAM|782|1689|B
20201209|ACB|21497|43029|B
20201209|ACBI|200|300|B
20201209|ACC|2490|4590|B
20201209|ACCD|2500|3500|B
20201209|ACCO|2932|5029|B
20201209|ACEL|1494|3602|B
20201209|ACER|100|100|B
20201209|ACEV|0|100|B
20201209|ACGL|14567|36425|B
20201209|ACGLP|0|100|B
20201209|ACH|100|600|B
20201209|ACHC|5600|10637|B
20201209|ACHV|0|500|B
20201209|ACI|9314|11480|B
20201209|ACIA|400|3212|B
20201209|ACIC=|0|150|B
20201209|ACIO|606|606|B
20201209|ACIU|100|200|B
20201209|ACIW|1700|3000|B
20201209|ACLS|300|600|B
20201209|ACM|3787|11647|B
20201209|ACMR|300|500|B
20201209|ACN|6700|11668|B
20201209|ACNB|300|300|B
20201209|ACND|1100|1100|B
20201209|ACND=|0|800|B
20201209|ACOR|900|900|B
20201209|ACRE|1500|1800|B
20201209|ACRS|300|600|B
20201209|ACRX|4931|6631|B
20201209|ACST|6117|8217|B
20201209|ACTCW|1500|1600|B
20201209|ACTG|1600|2400|B
20201209|ACWF|121|121|B
20201209|ACWI|3309|6322|B
20201209|ACWV|200|1100|B
20201209|ACWX|5049|5849|B
20201209|ACY|200|200|B
20201209|ADAP|1834|2534|B
20201209|ADBE|2600|4800|B
20201209|ADC|600|3000|B
20201209|ADCT|2800|5300|B
20201209|ADES|200|200|B
20201209|ADI|5440|14721|B
20201209|ADIL|1100|1650|B
20201209|ADM|6682|9882|B
20201209|ADMA|31958|48358|B
20201209|ADME|200|200|B
20201209|ADMP|38280|60877|B
20201209|ADNT|6565|10665|B
20201209|ADP|1500|3200|B
20201209|ADPT|2932|3446|B
20201209|ADS|4601|8901|B
20201209|ADSK|4306|6406|B
20201209|ADT|19402|37038|B
20201209|ADTN|400|700|B
20201209|ADTX|300|905|B
20201209|ADUS|100|300|B
20201209|ADV|5613|9513|B
20201209|ADVM|20100|38218|B
20201209|ADVWW|100|200|B
20201209|ADX|300|400|B
20201209|ADXS|1300|1300|B
20201209|AEE|6687|10187|B
20201209|AEFC|0|100|B
20201209|AEG|2264|4364|B
20201209|AEGN|500|500|B
20201209|AEHL|1500|1800|B
20201209|AEHR|1300|1400|B
20201209|AEIS|400|1333|B
20201209|AEL|1835|4736|B
20201209|AEM|1300|3800|B
20201209|AENZ|0|100|B
20201209|AEO|18069|34237|B
20201209|AEP|2706|5518|B
20201209|AER|2000|5500|B
20201209|AERI|200|1000|B
20201209|AES|20508|38161|B
20201209|AESE|1813|2113|B
20201209|AEY|400|500|B
20201209|AEYE|0|600|B
20201209|AEZS|1513|1513|B
20201209|AFB|100|200|B
20201209|AFG|800|900|B
20201209|AFGD|400|400|B
20201209|AFI|1266|2066|B
20201209|AFIB|100|400|B
20201209|AFIN|1400|1800|B
20201209|AFL|7161|18569|B
20201209|AFMD|2401|3665|B
20201209|AFYA|300|3000|B
20201209|AG|8347|13147|B
20201209|AGBAW|9700|11206|B
20201209|AGCO|3500|7566|B
20201209|AGCUU|200|200|B
20201209|AGCWW|200|200|B
20201209|AGD|0|200|B
20201209|AGE|1200|1300|B
20201209|AGEN|6070|8070|B
20201209|AGG|24081|37888|B
20201209|AGGY|100|300|B
20201209|AGI|19484|35711|B
20201209|AGIO|3100|13940|B
20201209|AGLE|200|400|B
20201209|AGNC|25706|48476|B
20201209|AGNCN|200|200|B
20201209|AGO|600|2581|B
20201209|AGQ|3322|13887|B
20201209|AGR|763|1163|B
20201209|AGRO|400|1700|B
20201209|AGRX|869|1169|B
20201209|AGS|14552|23402|B
20201209|AGTC|508|608|B
20201209|AGX|0|100|B
20201209|AGYS|200|500|B
20201209|AGZD|100|300|B
20201209|AHAC|0|200|B
20201209|AHCO|1341|2579|B
20201209|AHH|600|900|B
20201209|AHPI|200|500|B
20201209|AHT|8523|11650|B
20201209|AHT-D|200|200|B
20201209|AHT-G|200|200|B
20201209|AHT-I|100|100|B
20201209|AI|111811|180383|B
20201209|AIA|1700|2600|B
20201209|AIG|18075|39224|B
20201209|AIHS|700|1800|B
20201209|AIKI|12508|13108|B
20201209|AIM|600|600|B
20201209|AIMC|600|2440|B
20201209|AIN|200|200|B
20201209|AINV|1730|4830|B
20201209|AIO|200|200|B
20201209|AIQ|350|450|B
20201209|AIR|2099|2199|B
20201209|AIRI|500|1000|B
20201209|AIT|1000|1227|B
20201209|AIV|1782|4568|B
20201209|AIZ|1300|3200|B
20201209|AJAX=|0|100|B
20201209|AJG|4195|5095|B
20201209|AJRD|14714|16314|B
20201209|AJX|200|400|B
20201209|AKAM|4000|5515|B
20201209|AKBA|12177|24177|B
20201209|AKER|100|100|B
20201209|AKO.B|0|100|B
20201209|AKR|1100|1926|B
20201209|AKRO|100|800|B
20201209|AKTS|1500|2858|B
20201209|AKTX|600|600|B
20201209|AL|4298|4798|B
20201209|ALAC|100|800|B
20201209|ALACR|0|13937|B
20201209|ALACW|100|400|B
20201209|ALB|6300|7300|B
20201209|ALBO|400|400|B
20201209|ALC|7406|9125|B
20201209|ALDX|500|1300|B
20201209|ALE|300|810|B
20201209|ALEC|1500|2200|B
20201209|ALEX|1300|2084|B
20201209|ALGM|4100|10634|B
20201209|ALGN|1700|2000|B
20201209|ALGS|0|500|B
20201209|ALGT|400|600|B
20201209|ALIM|800|800|B
20201209|ALK|5671|8771|B
20201209|ALKS|800|1300|B
20201209|ALL|3725|12112|B
20201209|ALLE|1300|5150|B
20201209|ALLK|1000|1100|B
20201209|ALLO|2000|3988|B
20201209|ALLT|100|500|B
20201209|ALLY|33720|55175|B
20201209|ALNA|500|1966|B
20201209|ALNY|3300|3600|B
20201209|ALPN|300|300|B
20201209|ALRM|200|500|B
20201209|ALRN|800|800|B
20201209|ALSK|4300|6200|B
20201209|ALSN|4310|5669|B
20201209|ALT|1600|2026|B
20201209|ALTA|0|300|B
20201209|ALTM|100|100|B
20201209|ALTR|100|300|B
20201209|ALTUU|13000|114563|B
20201209|ALV|2355|4739|B
20201209|ALVR|200|300|B
20201209|ALXN|1951|4898|B
20201209|ALXO|1700|2000|B
20201209|ALYA|0|300|B
20201209|AM|19806|40513|B
20201209|AMAL|0|600|B
20201209|AMAT|5425|10139|B
20201209|AMBA|2448|5372|B
20201209|AMBC|300|600|B
20201209|AMBO|200|200|B
20201209|AMC|8190|20856|B
20201209|AMCI|5799|7599|B
20201209|AMCIW|3431|4167|B
20201209|AMCR|68664|92532|B
20201209|AMCX|2097|2597|B
20201209|AMD|38579|76934|B
20201209|AME|2133|4933|B
20201209|AMED|1300|1500|B
20201209|AMEH|200|400|B
20201209|AMER|100|100|B
20201209|AMG|1595|1795|B
20201209|AMGN|2558|4291|B
20201209|AMH|4313|13951|B
20201209|AMJ|10876|11476|B
20201209|AMK|0|200|B
20201209|AMKR|6326|10926|B
20201209|AMLP|58993|67160|B
20201209|AMN|900|1500|B
20201209|AMNB|0|100|B
20201209|AMOT|300|700|B
20201209|AMP|2202|2302|B
20201209|AMPE|16683|16683|B
20201209|AMPH|500|700|B
20201209|AMPY|0|100|B
20201209|AMRC|700|1100|B
20201209|AMRH|500|600|B
20201209|AMRN|18971|25693|B
20201209|AMRS|19225|26167|B
20201209|AMRX|9470|10470|B
20201209|AMSC|200|1300|B
20201209|AMSF|100|100|B
20201209|AMST|0|100|B
20201209|AMSWA|200|1300|B
20201209|AMT|7398|13182|B
20201209|AMTB|0|100|B
20201209|AMTI|1283|1583|B
20201209|AMTX|3900|4100|B
20201209|AMUB|0|100|B
20201209|AMWD|1590|2137|B
20201209|AMWL|4700|5098|B
20201209|AMX|15784|30772|B
20201209|AMZN|4400|6715|B
20201209|AN|1016|2136|B
20201209|ANAB|516|816|B
20201209|ANCN|500|700|B
20201209|ANDE|700|1300|B
20201209|ANET|1300|1800|B
20201209|ANF|4296|10108|B
20201209|ANGI|6236|10236|B
20201209|ANGL|4275|7991|B
20201209|ANGO|500|700|B
20201209|ANH|7716|11516|B
20201209|ANH-B|100|100|B
20201209|ANH-C|100|100|B
20201209|ANIK|100|200|B
20201209|ANIP|100|100|B
20201209|ANIX|0|100|B
20201209|ANNX|200|600|B
20201209|ANSS|1200|1400|B
20201209|ANTE|0|200|B
20201209|ANTM|3348|7893|B
20201209|ANVS|100|100|B
20201209|ANY|0|115|B
20201209|AOA|100|100|B
20201209|AOD|200|200|B
20201209|AOM|200|200|B
20201209|AON|8000|13459|B
20201209|AONE+|0|100|B
20201209|AOR|131|131|B
20201209|AOS|5101|7128|B
20201209|AOSL|200|1500|B
20201209|AOUT|100|100|B
20201209|AP|0|500|B
20201209|APA|48027|86284|B
20201209|APAM|400|800|B
20201209|APD|4300|5900|B
20201209|APDN|560|560|B
20201209|APEI|799|899|B
20201209|APG|2830|7763|B
20201209|APH|1400|3800|B
20201209|APHA|24534|54756|B
20201209|API|8040|9040|B
20201209|APLE|5002|8156|B
20201209|APLS|800|1000|B
20201209|APLT|300|300|B
20201209|APM|0|300|B
20201209|APO|3119|8396|B
20201209|APOG|100|100|B
20201209|APOP|1100|1100|B
20201209|APPF|200|300|B
20201209|APPN|12660|13260|B
20201209|APPS|2035|4354|B
20201209|APRE|600|900|B
20201209|APRN|10295|12799|B
20201209|APSG|100|100|B
20201209|APSG=|0|200|B
20201209|APT|2000|3200|B
20201209|APTO|12300|32225|B
20201209|APTS|200|500|B
20201209|APTV|3493|4593|B
20201209|APTX|600|1000|B
20201209|APVO|300|300|B
20201209|APWC|1356|2556|B
20201209|APXT|5800|7381|B
20201209|APXTW|150|150|B
20201209|APYX|100|100|B
20201209|AQB|6078|8547|B
20201209|AQMS|300|800|B
20201209|AQN|4200|6200|B
20201209|AQST|1400|2500|B
20201209|AQUA|1700|2750|B
20201209|AR|207661|302986|B
20201209|ARA|2100|3823|B
20201209|ARAV|900|1200|B
20201209|ARAY|2321|4979|B
20201209|ARC|1400|1400|B
20201209|ARCB|400|500|B
20201209|ARCC|5504|26158|B
20201209|ARCE|1650|2450|B
20201209|ARCH|700|900|B
20201209|ARCO|700|2000|B
20201209|ARCT|5602|7117|B
20201209|ARD|100|500|B
20201209|ARDX|400|500|B
20201209|ARE|2308|4308|B
20201209|AREC|1055|1435|B
20201209|ARES|2398|2998|B
20201209|ARGO|700|1200|B
20201209|ARGX|3298|3598|B
20201209|ARI|1800|3500|B
20201209|ARKF|4205|12755|B
20201209|ARKG|57636|58174|B
20201209|ARKK|45005|45505|B
20201209|ARKQ|2631|2631|B
20201209|ARKR|0|200|B
20201209|ARKW|6703|8296|B
20201209|ARLO|2100|3300|B
20201209|ARLP|1200|2472|B
20201209|ARMK|2093|3115|B
20201209|ARNA|2600|3500|B
20201209|ARNC|1100|1907|B
20201209|AROC|12193|17992|B
20201209|ARPO|2800|4394|B
20201209|ARQT|700|2100|B
20201209|ARR|4852|6331|B
20201209|ARRY|14100|39121|B
20201209|ARVN|1792|4732|B
20201209|ARW|1700|2000|B
20201209|ARWR|6045|9528|B
20201209|ARYA|0|100|B
20201209|ASA|100|100|B
20201209|ASAN|2693|4293|B
20201209|ASB|2088|5052|B
20201209|ASC|300|400|B
20201209|ASEA|100|5250|B
20201209|ASG|400|5700|B
20201209|ASGN|200|300|B
20201209|ASH|2606|9121|B
20201209|ASHR|50830|129453|B
20201209|ASIX|600|1200|B
20201209|ASLN|500|2100|B
20201209|ASM|500|500|B
20201209|ASMB|1800|2400|B
20201209|ASML|2522|3522|B
20201209|ASND|1400|1600|B
20201209|ASO|4000|16838|B
20201209|ASPN|700|3508|B
20201209|ASPU|100|100|B
20201209|ASR|200|200|B
20201209|ASRT|196824|217433|B
20201209|ASTC|6794|7794|B
20201209|ASTE|100|200|B
20201209|ASUR|500|800|B
20201209|ASX|7584|12884|B
20201209|AT|300|300|B
20201209|ATAC=|0|100|B
20201209|ATAX|1700|1700|B
20201209|ATCO|500|730|B
20201209|ATCX|100|100|B
20201209|ATEC|2367|6096|B
20201209|ATEN|2066|5270|B
20201209|ATGE|1800|2400|B
20201209|ATH|1200|3400|B
20201209|ATH-B|230|230|B
20201209|ATH-C|300|300|B
20201209|ATHA|300|700|B
20201209|ATHE|2500|2780|B
20201209|ATHM|500|1900|B
20201209|ATHX|19709|32987|B
20201209|ATI|6774|9156|B
20201209|ATKR|8285|9885|B
20201209|ATLC|100|200|B
20201209|ATLO|100|100|B
20201209|ATNF|2950|3350|B
20201209|ATNFW|28999|30099|B
20201209|ATNI|200|410|B
20201209|ATNM|900|1700|B
20201209|ATNX|1570|5270|B
20201209|ATO|828|1128|B
20201209|ATOM|300|300|B
20201209|ATOS|114900|126277|B
20201209|ATRA|5200|29398|B
20201209|ATRC|800|800|B
20201209|ATRI|100|100|B
20201209|ATRO|2200|2800|B
20201209|ATRS|3798|7092|B
20201209|ATSG|200|300|B
20201209|ATTO|0|100|B
20201209|ATUS|52821|106411|B
20201209|ATVI|20906|52935|B
20201209|ATXI|300|300|B
20201209|AU|6382|19041|B
20201209|AUB|0|100|B
20201209|AUDC|700|2200|B
20201209|AUMN|1100|1100|B
20201209|AUPH|2799|3899|B
20201209|AUTL|799|1499|B
20201209|AUTO|700|2600|B
20201209|AUVI|0|131|B
20201209|AUY|21211|41025|B
20201209|AVA|400|700|B
20201209|AVAL|0|1484|B
20201209|AVAV|3200|3400|B
20201209|AVB|4877|9637|B
20201209|AVCT|200|400|B
20201209|AVD|900|900|B
20201209|AVDE|554|754|B
20201209|AVDL|870|1470|B
20201209|AVDV|200|200|B
20201209|AVEM|731|731|B
20201209|AVEO|0|900|B
20201209|AVGO|2400|4733|B
20201209|AVGR|2320|3620|B
