DATE|SYMBOL|SHORT VOLUME|TOTAL VOLUME|MARKET
20210211|A|2200|5355|B
20210211|AA|10785|17171|B
20210211|AAA|100|100|B
20210211|AAAU|2800|3600|B
20210211|AAC=|0|405|B
20210211|AACG|800|1000|B
20210211|AACQ|500|1900|B
20210211|AACQU|200|300|B
20210211|AACQW|100|700|B
20210211|AAIC|200|300|B
20210211|AAL|56000|86679|B
20210211|AAMC|100|100|B
20210211|AAME|300|500|B
20210211|AAN|2107|3319|B
20210211|AAOI|463|663|B
20210211|AAON|200|400|B
20210211|AAP|1884|3909|B
20210211|AAPL|53316|112719|B
20210211|AAT|500|500|B
20210211|AAU|34494|52350|B
20210211|AAWW|300|600|B
20210211|AAXJ|1776|6963|B
20210211|AB|1300|2492|B
20210211|ABB|6166|12315|B
20210211|ABBV|3286|6786|B
20210211|ABC|3018|4118|B
20210211|ABCB|756|1348|B
20210211|ABCL|2200|9080|B
20210211|ABCM|859|4059|B
20210211|ABEO|6556|20654|B
20210211|ABEQ|100|100|B
20210211|ABEV|92149|150687|B
20210211|ABG|100|100|B
20210211|ABIO|6100|8000|B
20210211|ABM|500|700|B
20210211|ABMD|400|600|B
20210211|ABNB|14324|20734|B
20210211|ABR|1000|1600|B
20210211|ABST|1600|2800|B
20210211|ABT|10848|12779|B
20210211|ABTX|100|100|B
20210211|ABUS|19734|22905|B
20210211|ACA|400|600|B
20210211|ACAC|1650|3550|B
20210211|ACACU|0|338|B
20210211|ACACW|931|1131|B
20210211|ACAD|1900|2400|B
20210211|ACB|93625|118254|B
20210211|ACBI|100|200|B
20210211|ACC|2010|3410|B
20210211|ACCD|1000|1800|B
20210211|ACCO|500|1000|B
20210211|ACEL|300|300|B
20210211|ACER|1750|3450|B
20210211|ACES|0|200|B
20210211|ACET|1750|2350|B
20210211|ACEV|5996|27012|B
20210211|ACEVU|0|800|B
20210211|ACEVW|2200|4832|B
20210211|ACGL|18076|27123|B
20210211|ACHC|723|3023|B
20210211|ACHV|200|200|B
20210211|ACI|1700|9038|B
20210211|ACIA|768|1768|B
20210211|ACIC|16693|49174|B
20210211|ACIC+|117|1317|B
20210211|ACIC=|0|3375|B
20210211|ACII=|0|1805|B
20210211|ACIU|20553|31808|B
20210211|ACIW|1672|2972|B
20210211|ACKIU|0|200|B
20210211|ACKIW|500|500|B
20210211|ACLS|2300|2881|B
20210211|ACM|2275|2824|B
20210211|ACMR|200|300|B
20210211|ACN|1509|3609|B
20210211|ACOR|400|3166|B
20210211|ACRE|601|601|B
20210211|ACRS|1300|1700|B
20210211|ACRX|16505|33214|B
20210211|ACST|239531|316344|B
20210211|ACTC|700|1011|B
20210211|ACTCU|100|100|B
20210211|ACTCW|400|900|B
20210211|ACTG|1500|6509|B
20210211|ACV|200|200|B
20210211|ACWI|62170|64295|B
20210211|ACWV|400|1100|B
20210211|ACWX|1740|3259|B
20210211|ACY|400|500|B
20210211|ADAG|4800|6338|B
20210211|ADAP|800|1700|B
20210211|ADBE|1585|3177|B
20210211|ADC|600|2400|B
20210211|ADCT|200|500|B
20210211|ADERU|0|200|B
20210211|ADES|200|800|B
20210211|ADEX=|100|100|B
20210211|ADI|3527|5269|B
20210211|ADIL|900|2072|B
20210211|ADM|3123|6622|B
20210211|ADMA|29317|71300|B
20210211|ADMP|14500|48019|B
20210211|ADMS|500|800|B
20210211|ADN|1500|2272|B
20210211|ADNT|2100|3101|B
20210211|ADNWW|400|1016|B
20210211|ADP|4310|9054|B
20210211|ADPT|600|700|B
20210211|ADS|2535|3555|B
20210211|ADSK|1700|7290|B
20210211|ADT|4624|80382|B
20210211|ADTN|200|500|B
20210211|ADTX|47768|59293|B
20210211|ADUS|400|400|B
20210211|ADV|700|1200|B
20210211|ADVM|500|1750|B
20210211|ADX|100|200|B
20210211|ADXS|21494|30307|B
20210211|AE|100|100|B
20210211|AEE|3300|6100|B
20210211|AEG|11643|24357|B
20210211|AEGN|200|300|B
20210211|AEHL|3300|4370|B
20210211|AEHR|525|725|B
20210211|AEI|20112|24702|B
20210211|AEIS|3947|4347|B
20210211|AEL|2600|4800|B
20210211|AEL-A|100|100|B
20210211|AEM|2501|4220|B
20210211|AEMD|4355|8055|B
20210211|AEO|11211|16543|B
20210211|AEP|5771|7771|B
20210211|AEPPL|700|700|B
20210211|AER|3383|5220|B
20210211|AERI|500|800|B
20210211|AES|16346|37269|B
20210211|AESE|1900|5364|B
20210211|AEY|502|602|B
20210211|AEYE|300|700|B
20210211|AEZS|27205|37186|B
20210211|AFB|100|300|B
20210211|AFBI|100|100|B
20210211|AFG|900|1000|B
20210211|AFI|200|900|B
20210211|AFIB|1500|1600|B
20210211|AFIN|1057|1457|B
20210211|AFL|7296|9396|B
20210211|AFMD|820|1520|B
20210211|AFRM|7395|10205|B
20210211|AFYA|200|700|B
20210211|AG|8949|11967|B
20210211|AGBA|0|100|B
20210211|AGBAR|100|100|B
20210211|AGC|500|500|B
20210211|AGCB|100|200|B
20210211|AGCO|2000|3579|B
20210211|AGD|0|100|B
20210211|AGE|780|1598|B
20210211|AGEN|21885|26322|B
20210211|AGFS|300|500|B
20210211|AGFY|800|2500|B
20210211|AGG|6547|10483|B
20210211|AGGY|0|100|B
20210211|AGI|13692|17244|B
20210211|AGIO|3800|5000|B
20210211|AGLE|0|200|B
20210211|AGM|300|300|B
20210211|AGNC|15249|20274|B
20210211|AGNCM|300|300|B
20210211|AGO|1118|1718|B
20210211|AGQ|600|5665|B
20210211|AGR|1335|2406|B
20210211|AGRX|1032|3132|B
20210211|AGS|620|1133|B
20210211|AGTC|6800|24318|B
20210211|AGX|200|700|B
20210211|AGYS|640|640|B
20210211|AGZ|0|100|B
20210211|AGZD|0|300|B
20210211|AHAC|239|239|B
20210211|AHC|264|264|B
20210211|AHCO|3400|8182|B
20210211|AHH|800|1900|B
20210211|AHPI|1450|3650|B
20210211|AHT|4309|4659|B
20210211|AI|3268|3468|B
20210211|AIA|2400|2600|B
20210211|AIEQ|400|400|B
20210211|AIG|3808|11336|B
20210211|AIH|702|3602|B
20210211|AIHS|0|100|B
20210211|AIKI|6057|39901|B
20210211|AIM|7000|11126|B
20210211|AIMC|400|600|B
20210211|AIN|2264|4064|B
20210211|AINC|100|100|B
20210211|AINV|2288|2840|B
20210211|AIQ|0|800|B
20210211|AIR|100|500|B
20210211|AIRC|3400|7785|B
20210211|AIRG|700|900|B
20210211|AIRI|426|426|B
20210211|AIRR|200|200|B
20210211|AIRT|0|100|B
20210211|AIRTW|100|400|B
20210211|AIT|200|500|B
20210211|AIV|1974|5533|B
20210211|AIZ|5319|8823|B
20210211|AJAX|2600|5840|B
20210211|AJAX+|0|300|B
20210211|AJAX=|200|400|B
20210211|AJG|900|2800|B
20210211|AJRD|1416|2016|B
20210211|AJX|100|300|B
20210211|AKAM|28398|35094|B
20210211|AKBA|14042|36860|B
20210211|AKER|12400|17050|B
20210211|AKR|6200|8319|B
20210211|AKRO|300|700|B
20210211|AKTS|2100|5600|B
20210211|AKTX|900|1100|B
20210211|AKUS|1000|1300|B
20210211|AL|300|3000|B
20210211|ALAC|200|200|B
20210211|ALACW|0|313|B
20210211|ALB|3200|5919|B
20210211|ALBO|300|800|B
20210211|ALC|900|1300|B
20210211|ALDX|300|700|B
20210211|ALE|200|350|B
20210211|ALEC|618|1118|B
20210211|ALEX|600|2000|B
20210211|ALG|800|1100|B
20210211|ALGM|2600|9700|B
20210211|ALGN|900|2302|B
20210211|ALGS|0|100|B
20210211|ALGT|800|800|B
20210211|ALIM|200|300|B
20210211|ALJJ|200|200|B
20210211|ALK|2931|4551|B
20210211|ALKS|3812|16484|B
20210211|ALL|7089|17917|B
20210211|ALL-B|100|100|B
20210211|ALL-H|0|121|B
20210211|ALL-I|0|163|B
20210211|ALLE|600|1728|B
20210211|ALLK|800|1500|B
20210211|ALLO|1360|2860|B
20210211|ALLT|200|400|B
20210211|ALLY|6603|10202|B
20210211|ALNA|8040|10826|B
20210211|ALNY|3700|3857|B
20210211|ALPN|400|600|B
20210211|ALRM|300|500|B
20210211|ALRN|1700|8000|B
20210211|ALSK|3232|4932|B
20210211|ALSN|1700|2100|B
20210211|ALT|5600|10791|B
20210211|ALTG|100|200|B
20210211|ALTM|0|100|B
20210211|ALTO|1808|7179|B
20210211|ALTR|500|500|B
20210211|ALTU|576|576|B
20210211|ALUS|2307|8097|B
20210211|ALUS+|588|988|B
20210211|ALV|400|1000|B
20210211|ALVR|400|400|B
20210211|ALXN|5100|11613|B
20210211|ALXO|200|400|B
20210211|ALYA|700|2600|B
20210211|AM|13015|19668|B
20210211|AMAL|100|400|B
20210211|AMAT|19539|38287|B
20210211|AMBA|1100|1300|B
20210211|AMBC|500|1000|B
20210211|AMBO|800|900|B
20210211|AMC|76935|103716|B
20210211|AMCR|77798|109155|B
20210211|AMCX|4300|16190|B
20210211|AMD|32303|101074|B
20210211|AME|1400|4010|B
20210211|AMED|1000|1200|B
20210211|AMG|7315|10260|B
20210211|AMGN|6565|21981|B
20210211|AMH|4432|6456|B
20210211|AMHC|100|200|B
20210211|AMHCW|200|200|B
20210211|AMJ|0|300|B
20210211|AMK|100|300|B
20210211|AMKR|40829|56431|B
20210211|AMLP|17454|19654|B
20210211|AMN|500|500|B
20210211|AMOV|0|100|B
20210211|AMP|1600|1600|B
20210211|AMPE|3000|3568|B
20210211|AMPH|400|500|B
20210211|AMPY|3089|3289|B
20210211|AMR|200|800|B
20210211|AMRC|1231|1731|B
20210211|AMRK|100|200|B
20210211|AMRN|8725|32980|B
20210211|AMRS|6787|16082|B
20210211|AMRX|2634|3234|B
20210211|AMS|3406|3970|B
20210211|AMSC|400|500|B
20210211|AMSWA|500|500|B
20210211|AMT|3048|7970|B
20210211|AMTI|0|100|B
20210211|AMTX|1300|6020|B
20210211|AMWD|0|200|B
20210211|AMWL|1000|2000|B
20210211|AMX|12446|23382|B
20210211|AMZA|5592|6092|B
20210211|AMZN|1851|2811|B
20210211|AN|2114|3114|B
20210211|ANAB|1100|5600|B
20210211|ANCN|6883|9608|B
20210211|ANDA|800|800|B
20210211|ANDAW|2370|3253|B
20210211|ANDE|600|600|B
20210211|ANET|2300|4580|B
20210211|ANF|1374|1774|B
20210211|ANGI|9750|14005|B
20210211|ANGL|3020|3470|B
20210211|ANGN|200|591|B
20210211|ANGO|1388|2088|B
20210211|ANH|1841|1941|B
20210211|ANIK|1300|1300|B
20210211|ANIP|396|396|B
20210211|ANNX|400|400|B
20210211|ANPC|0|800|B
20210211|ANSS|1344|1344|B
20210211|ANTE|1500|3855|B
20210211|ANTM|2700|4016|B
20210211|ANVS|700|800|B
20210211|ANY|1315|1515|B
20210211|AOA|300|300|B
20210211|AOD|200|1673|B
20210211|AOM|100|100|B
20210211|AON|3800|6802|B
20210211|AOS|1082|1282|B
20210211|AOSL|3683|6735|B
20210211|AOUT|1100|1800|B
20210211|AP|230|230|B
20210211|APA|29157|51864|B
20210211|APAM|2300|2400|B
20210211|APD|3686|4738|B
20210211|APDN|2200|3200|B
20210211|APEI|0|100|B
20210211|APEN|0|400|B
20210211|APG|700|1789|B
