DATE|SYMBOL|SHORT VOLUME|TOTAL VOLUME|MARKET
20210125|A|12200|16200|B
20210125|AA|20234|26563|B
20210125|AAAU|300|3400|B
20210125|AACQ|0|2138|B
20210125|AACQU|100|200|B
20210125|AACQW|100|1600|B
20210125|AAIC|200|300|B
20210125|AAL|165565|197705|B
20210125|AAN|1000|1800|B
20210125|AAOI|1084|3245|B
20210125|AAON|400|400|B
20210125|AAP|8063|14591|B
20210125|AAPL|214415|593520|B
20210125|AAT|200|308|B
20210125|AAU|16700|38013|B
20210125|AAWW|2033|2933|B
20210125|AAXJ|6239|6939|B
20210125|AAXN|1100|1100|B
20210125|AB|700|3106|B
20210125|ABB|5994|13693|B
20210125|ABBV|9498|13707|B
20210125|ABC|3295|4395|B
20210125|ABCB|3600|3700|B
20210125|ABCL|1700|4100|B
20210125|ABCM|400|400|B
20210125|ABEO|9949|10049|B
20210125|ABEV|58097|159051|B
20210125|ABG|200|300|B
20210125|ABIO|200|300|B
20210125|ABM|816|1216|B
20210125|ABMD|1129|2100|B
20210125|ABNB|24280|34480|B
20210125|ABR|2200|3500|B
20210125|ABST|400|500|B
20210125|ABT|7117|10211|B
20210125|ABTX|300|400|B
20210125|ABUS|2433|3792|B
20210125|ACA|200|300|B
20210125|ACACU|0|200|B
20210125|ACAD|2428|4991|B
20210125|ACB|16023|33265|B
20210125|ACBI|500|500|B
20210125|ACC|5300|6200|B
20210125|ACCD|6452|13957|B
20210125|ACCO|500|1286|B
20210125|ACEL|200|1311|B
20210125|ACER|2329|3429|B
20210125|ACES|800|800|B
20210125|ACET|200|300|B
20210125|ACEV|300|9357|B
20210125|ACEVU|100|6400|B
20210125|ACGL|4768|8968|B
20210125|ACH|0|227|B
20210125|ACHC|500|1500|B
20210125|ACHV|1100|1300|B
20210125|ACI|8430|25404|B
20210125|ACIA|2844|4444|B
20210125|ACIC|600|1300|B
20210125|ACIO|0|315|B
20210125|ACIU|400|2600|B
20210125|ACIW|6962|8018|B
20210125|ACLS|300|400|B
20210125|ACM|1928|2228|B
20210125|ACMR|2700|3300|B
20210125|ACN|6976|11163|B
20210125|ACOR|500|2300|B
20210125|ACRE|600|1600|B
20210125|ACRS|4100|6300|B
20210125|ACRX|50804|94321|B
20210125|ACST|787705|1221207|B
20210125|ACTC|15737|32798|B
20210125|ACTCU|100|600|B
20210125|ACTCW|500|1500|B
20210125|ACTG|2800|9918|B
20210125|ACWI|38579|46077|B
20210125|ACWV|2329|3016|B
20210125|ACWX|4471|20756|B
20210125|ACY|300|600|B
20210125|ADAP|4240|6060|B
20210125|ADBE|5658|7673|B
20210125|ADC|2078|2378|B
20210125|ADCT|900|1400|B
20210125|ADERU|0|705|B
20210125|ADEX=|0|100|B
20210125|ADI|11226|19579|B
20210125|ADIL|400|1000|B
20210125|ADILW|200|200|B
20210125|ADM|12512|17933|B
20210125|ADMA|13093|16693|B
20210125|ADMP|32052|39514|B
20210125|ADMS|0|200|B
20210125|ADNT|2269|4722|B
20210125|ADOC|300|300|B
20210125|ADP|5630|8380|B
20210125|ADPT|596|1496|B
20210125|ADRE|700|700|B
20210125|ADS|100|456|B
20210125|ADSK|7325|10739|B
20210125|ADT|12789|21827|B
20210125|ADTN|3000|3607|B
20210125|ADTX|2100|4564|B
20210125|ADUS|402|702|B
20210125|ADV|3700|4300|B
20210125|ADVM|486|886|B
20210125|ADVWW|0|600|B
20210125|ADXN|0|300|B
20210125|ADXS|293811|486141|B
20210125|AEACU|0|300|B
20210125|AEE|5921|8694|B
20210125|AEF|600|600|B
20210125|AEG|4400|10406|B
20210125|AEGN|100|400|B
20210125|AEHL|100|600|B
20210125|AEHR|100|924|B
20210125|AEIS|1122|1372|B
20210125|AEL|1621|1821|B
20210125|AEM|1100|2815|B
20210125|AEMD|300|300|B
20210125|AEO|25948|38904|B
20210125|AEP|1800|4281|B
20210125|AEPPL|200|200|B
20210125|AER|7282|14082|B
20210125|AERI|13156|16556|B
20210125|AES|21691|71195|B
20210125|AESE|5700|6400|B
20210125|AEY|600|1528|B
20210125|AEYE|800|1100|B
20210125|AEZS|22018|40918|B
20210125|AFB|0|300|B
20210125|AFG|1400|3414|B
20210125|AFI|0|347|B
20210125|AFIB|100|200|B
20210125|AFIN|623|864|B
20210125|AFL|19662|24829|B
20210125|AFMD|14318|17981|B
20210125|AFRM|8250|12750|B
20210125|AFT|0|200|B
20210125|AFYA|300|700|B
20210125|AG|60478|73171|B
20210125|AGBAW|300|300|B
20210125|AGC|1305|9005|B
20210125|AGCB|0|669|B
20210125|AGCO|1300|2000|B
20210125|AGCUU|200|700|B
20210125|AGCWW|900|1050|B
20210125|AGD|200|200|B
20210125|AGE|0|400|B
20210125|AGEN|9078|10010|B
20210125|AGG|8946|19133|B
20210125|AGI|6062|17903|B
20210125|AGIO|4400|8239|B
20210125|AGLE|0|300|B
20210125|AGM|100|100|B
20210125|AGNC|102000|198542|B
20210125|AGNCO|0|100|B
20210125|AGO|3782|4082|B
20210125|AGQ|900|19497|B
20210125|AGR|3111|3311|B
20210125|AGRO|200|1399|B
20210125|AGRX|600|800|B
20210125|AGS|3400|4660|B
20210125|AGX|200|200|B
20210125|AGYS|600|600|B
20210125|AGZD|100|300|B
20210125|AHACU|200|200|B
20210125|AHACW|0|100|B
20210125|AHC|200|200|B
20210125|AHCO|1700|3366|B
20210125|AHH|400|400|B
20210125|AHL-D|0|100|B
20210125|AHPI|100|750|B
20210125|AHT|6284|9495|B
20210125|AI|20113|24353|B
20210125|AIA|2200|4550|B
20210125|AIC|100|100|B
20210125|AIF|0|100|B
20210125|AIG|7555|13423|B
20210125|AIH|0|100|B
20210125|AIHS|271|1749|B
20210125|AIKI|9600|10100|B
20210125|AIM|1351|2651|B
20210125|AIMC|700|700|B
20210125|AIN|200|200|B
20210125|AINV|2300|3200|B
20210125|AIO|600|1120|B
20210125|AIQ|400|400|B
20210125|AIR|400|600|B
20210125|AIRC|420|1024|B
20210125|AIRG|1825|3675|B
20210125|AIRI|500|1300|B
20210125|AIRR|100|100|B
20210125|AIRT|100|100|B
20210125|AIT|400|500|B
20210125|AIV|21797|23497|B
20210125|AIZ|600|800|B
20210125|AJAX|1900|2800|B
20210125|AJAX+|100|200|B
20210125|AJAX=|0|1552|B
20210125|AJG|6573|6973|B
20210125|AJRD|1056|6456|B
20210125|AKAM|4757|5862|B
20210125|AKBA|28424|41969|B
20210125|AKER|0|100|B
20210125|AKICU|400|3600|B
20210125|AKR|2900|3900|B
20210125|AKRO|200|200|B
20210125|AKTS|6451|7518|B
20210125|AKTX|200|2100|B
20210125|AKUS|500|500|B
20210125|AL|5526|8619|B
20210125|ALAC|0|400|B
20210125|ALACW|0|100|B
20210125|ALB|10607|11407|B
20210125|ALBO|1382|1382|B
20210125|ALC|3390|9090|B
20210125|ALDX|1872|5007|B
20210125|ALE|700|1106|B
20210125|ALEC|1300|2500|B
20210125|ALEX|1100|1300|B
20210125|ALG|200|200|B
20210125|ALGM|300|600|B
20210125|ALGN|3600|4700|B
20210125|ALGT|900|900|B
20210125|ALIM|0|100|B
20210125|ALIN-B|100|100|B
20210125|ALK|7100|12002|B
20210125|ALKS|1237|12437|B
20210125|ALL|8150|12441|B
20210125|ALL-G|0|100|B
20210125|ALLE|2800|3781|B
20210125|ALLK|600|1416|B
20210125|ALLO|4700|7567|B
20210125|ALLT|300|300|B
20210125|ALLY|9563|25232|B
20210125|ALLY-A|200|200|B
20210125|ALNA|1120|1420|B
20210125|ALNY|5004|7004|B
20210125|ALOT|100|100|B
20210125|ALPN|100|200|B
20210125|ALRM|2100|2400|B
20210125|ALRN|4700|6300|B
20210125|ALSK|31135|31235|B
20210125|ALSN|2179|5781|B
20210125|ALT|4741|8141|B
20210125|ALTM|900|1000|B
20210125|ALTR|800|1700|B
20210125|ALTUU|0|200|B
20210125|ALUS|100|100|B
20210125|ALV|3600|6299|B
20210125|ALVR|100|200|B
20210125|ALXN|5033|8722|B
20210125|ALXO|400|500|B
20210125|AM|29220|55321|B
20210125|AMAL|100|100|B
20210125|AMAT|31878|43509|B
20210125|AMBA|1400|4200|B
20210125|AMBC|100|300|B
20210125|AMC|500138|858551|B
20210125|AMCI|1302|2943|B
20210125|AMCIW|500|2052|B
20210125|AMCR|87164|111796|B
20210125|AMCX|35299|43364|B
20210125|AMD|58835|157141|B
20210125|AME|5800|11760|B
20210125|AMED|300|500|B
20210125|AMG|1382|1382|B
20210125|AMGN|6400|10180|B
20210125|AMH|2100|34104|B
20210125|AMH-F|0|100|B
20210125|AMHC|0|100|B
20210125|AMHCW|100|200|B
