DATE|SYMBOL|SHORT VOLUME|TOTAL VOLUME|MARKET
20210104|A|1700|3100|X
20210104|AA|5384|22784|X
20210104|AAAU|200|11549|X
20210104|AACQ|9364|12634|X
20210104|AACQU|100|500|X
20210104|AACQW|200|1525|X
20210104|AAL|365909|475716|X
20210104|AAN|1100|4901|X
20210104|AAOI|1700|2420|X
20210104|AAON|300|300|X
20210104|AAP|1100|2100|X
20210104|AAPL|450644|581288|X
20210104|AAT|1100|3700|X
20210104|AAU|300|300|X
20210104|AAWW|0|200|X
20210104|AAXJ|28202|31702|X
20210104|AAXN|1895|4782|X
20210104|AB|300|800|X
20210104|ABB|7000|12400|X
20210104|ABBV|4464|7073|X
20210104|ABC|4700|5600|X
20210104|ABCB|1500|1700|X
20210104|ABCL|200|1600|X
20210104|ABCM|100|3700|X
20210104|ABEO|10180|11381|X
20210104|ABEV|642256|651556|X
20210104|ABG|100|100|X
20210104|ABIO|200|300|X
20210104|ABM|400|500|X
20210104|ABMD|1000|1600|X
20210104|ABNB|6400|17400|X
20210104|ABR|100|100|X
20210104|ABT|5229|7692|X
20210104|ABTX|105|105|X
20210104|ABUS|8330|14356|X
20210104|ACA|500|600|X
20210104|ACACU|0|200|X
20210104|ACAD|4000|5340|X
20210104|ACAM|2500|4475|X
20210104|ACAMW|4148|4148|X
20210104|ACB|31416|70394|X
20210104|ACC|3660|3960|X
20210104|ACCD|1100|1800|X
20210104|ACCO|2200|3000|X
20210104|ACEL|200|300|X
20210104|ACET|100|200|X
20210104|ACGL|5600|8400|X
20210104|ACH|0|400|X
20210104|ACHC|4007|4507|X
20210104|ACI|6900|10400|X
20210104|ACIA|1231|3245|X
20210104|ACIU|200|400|X
20210104|ACIW|700|2400|X
20210104|ACLS|100|200|X
20210104|ACM|1800|3300|X
20210104|ACMR|1394|2894|X
20210104|ACN|600|600|X
20210104|ACND|100|100|X
20210104|ACOR|400|400|X
20210104|ACP|200|400|X
20210104|ACRE|600|700|X
20210104|ACRS|6840|13595|X
20210104|ACRX|1500|1500|X
20210104|ACST|25219|40886|X
20210104|ACTCU|200|700|X
20210104|ACTG|200|200|X
20210104|ACV|200|200|X
20210104|ACWI|116914|176266|X
20210104|ACWV|400|500|X
20210104|ACWX|113393|137350|X
20210104|ACY|1756|1956|X
20210104|ADAP|2800|4800|X
20210104|ADBE|1800|3600|X
20210104|ADC|700|2200|X
20210104|ADI|3261|3825|X
20210104|ADM|8701|10603|X
20210104|ADMA|5201|8012|X
20210104|ADMP|8023|8023|X
20210104|ADMS|200|200|X
20210104|ADNT|2600|4200|X
20210104|ADOCW|900|1000|X
20210104|ADP|300|800|X
20210104|ADPT|1500|4600|X
20210104|ADS|3086|5573|X
20210104|ADSK|1500|4114|X
20210104|ADT|14032|21982|X
20210104|ADTN|300|400|X
20210104|ADTX|1000|1300|X
20210104|ADUS|100|200|X
20210104|ADV|29266|31235|X
20210104|ADVM|861|2161|X
20210104|ADX|1400|1900|X
20210104|ADXS|8502|8602|X
20210104|AEE|2901|3301|X
20210104|AEF|100|100|X
20210104|AEFC|100|100|X
20210104|AEG|51165|107237|X
20210104|AEHR|100|100|X
20210104|AEIS|500|1200|X
20210104|AEL|1300|1400|X
20210104|AEM|5500|7700|X
20210104|AEMD|3000|4400|X
20210104|AEO|17726|22775|X
20210104|AEP|7700|8500|X
20210104|AEPPZ|0|900|X
20210104|AER|1100|2000|X
20210104|AERI|600|800|X
20210104|AES|36582|49001|X
20210104|AESE|5711|6211|X
20210104|AEY|0|100|X
20210104|AEZS|7400|7400|X
20210104|AFG|700|1100|X
20210104|AFI|0|200|X
20210104|AFIB|300|300|X
20210104|AFIN|400|400|X
20210104|AFL|4500|6600|X
20210104|AFMD|5278|8278|X
20210104|AFYA|0|100|X
20210104|AG|23500|48911|X
20210104|AGBA|500|700|X
20210104|AGCO|1289|3989|X
20210104|AGE|0|389|X
20210104|AGEN|4200|4800|X
20210104|AGFS|0|100|X
20210104|AGG|36435|56815|X
20210104|AGGY|100|100|X
20210104|AGI|35540|61902|X
20210104|AGIO|1400|2875|X
20210104|AGLE|300|500|X
20210104|AGNC|48827|80327|X
20210104|AGO|400|500|X
20210104|AGQ|982|3282|X
20210104|AGR|600|900|X
20210104|AGRO|900|1600|X
20210104|AGRX|4700|6200|X
20210104|AGS|1300|1400|X
20210104|AGTC|1300|1600|X
20210104|AGX|100|100|X
20210104|AGYS|300|500|X
20210104|AGZ|200|200|X
20210104|AHCO|800|2020|X
20210104|AHH|200|900|X
20210104|AHPI|300|300|X
20210104|AHT|11132|14531|X
20210104|AHT-F|200|200|X
20210104|AHT-G|100|100|X
20210104|AI|1600|6328|X
20210104|AIA|400|2443|X
20210104|AIF|100|100|X
20210104|AIG|15700|34688|X
20210104|AIG+|0|1300|X
20210104|AIHS|0|400|X
20210104|AIKI|1900|2000|X
20210104|AIM|9888|14438|X
20210104|AIMC|1000|1900|X
20210104|AINC|300|400|X
20210104|AINV|2100|2100|X
20210104|AIO|300|500|X
20210104|AIQ|1400|1400|X
20210104|AIR|100|900|X
20210104|AIRC|100|400|X
20210104|AIRG|200|200|X
20210104|AIRT|463|788|X
20210104|AIRTW|4100|8100|X
20210104|AIT|300|300|X
20210104|AIV|51107|67872|X
20210104|AIZ|600|1000|X
20210104|AJAX=|100|500|X
20210104|AJG|700|800|X
20210104|AJRD|1000|3300|X
20210104|AKAM|2466|3766|X
20210104|AKBA|11131|15031|X
20210104|AKER|200|200|X
20210104|AKR|1153|1953|X
20210104|AKTS|800|1100|X
20210104|AL|500|900|X
20210104|ALACR|2400|3600|X
20210104|ALACW|400|400|X
20210104|ALB|5500|6860|X
20210104|ALBO|1100|1100|X
20210104|ALC|1200|1600|X
20210104|ALDX|100|700|X
20210104|ALE|700|700|X
20210104|ALEC|1700|2700|X
20210104|ALEX|300|300|X
20210104|ALGM|1300|3300|X
20210104|ALGN|800|953|X
20210104|ALGS|475|475|X
20210104|ALGT|508|608|X
20210104|ALIN-B|0|500|X
20210104|ALK|3900|6100|X
20210104|ALKS|2100|3900|X
20210104|ALL|1148|1448|X
20210104|ALLE|900|900|X
20210104|ALLK|700|1300|X
20210104|ALLO|1100|2975|X
20210104|ALLT|100|200|X
20210104|ALLY|12780|20980|X
20210104|ALNA|1742|1942|X
20210104|ALNY|1300|1700|X
20210104|ALPN|900|1000|X
20210104|ALRM|845|1345|X
20210104|ALRN|600|600|X
20210104|ALSK|92401|103931|X
20210104|ALSN|1300|2400|X
20210104|ALT|1200|2200|X
20210104|ALTG|200|200|X
20210104|ALTG+|0|400|X
20210104|ALTM|100|100|X
20210104|ALTR|600|800|X
20210104|ALTY|300|400|X
20210104|ALUS+|0|5699|X
20210104|ALV|1300|1300|X
20210104|ALVR|2698|8750|X
20210104|ALXN|9324|30082|X
20210104|ALXO|400|400|X
20210104|AM|14409|18009|X
20210104|AMAT|23433|41533|X
20210104|AMBA|4141|8657|X
20210104|AMBC|100|200|X
20210104|AMBO|200|300|X
20210104|AMC|28226|34195|X
20210104|AMCI|400|3552|X
20210104|AMCIW|1800|8200|X
20210104|AMCR|36796|52684|X
20210104|AMCX|1300|1900|X
20210104|AMD|201588|460416|X
20210104|AME|900|1600|X
20210104|AMED|200|200|X
20210104|AMEH|100|200|X
20210104|AMG|1100|1100|X
20210104|AMGN|2811|5911|X
20210104|AMH|7477|13877|X
20210104|AMJ|5947|29052|X
20210104|AMKR|5800|7200|X
20210104|AMLP|18379|31879|X
20210104|AMN|605|758|X
20210104|AMP|2300|3200|X
20210104|AMPE|27378|34778|X
20210104|AMPH|200|200|X
20210104|AMPY|324|324|X
20210104|AMRC|2700|5700|X
20210104|AMRN|32181|53256|X
20210104|AMRS|59540|74142|X
20210104|AMRX|1200|4000|X
20210104|AMSC|600|1192|X
20210104|AMST|200|200|X
20210104|AMSWA|1500|1700|X
20210104|AMT|1600|3100|X
20210104|AMTB|200|200|X
20210104|AMTX|3250|4575|X
20210104|AMWD|0|100|X
20210104|AMWL|4196|7896|X
20210104|AMX|8325|11725|X
20210104|AMZN|6800|8500|X
20210104|AN|500|600|X
20210104|ANAB|1100|2300|X
20210104|ANDA|600|800|X
20210104|ANDE|100|100|X
20210104|ANET|900|1700|X
20210104|ANF|4600|13900|X
20210104|ANGI|6299|12799|X
20210104|ANGL|6992|8292|X
20210104|ANGO|100|400|X
20210104|ANH|4624|9654|X
20210104|ANIK|200|200|X
20210104|ANIP|300|300|X
20210104|ANNX|300|300|X
20210104|ANSS|400|1000|X
20210104|ANTE|17359|20565|X
20210104|ANTM|1000|1500|X
