DATE|SYMBOL|SHORT VOLUME|TOTAL VOLUME|MARKET
20210126|A|5127|5627|X
20210126|AA|22661|29698|X
20210126|AACQ|10770|21317|X
20210126|AACQW|400|500|X
20210126|AAIC|200|300|X
20210126|AAL|208503|352162|X
20210126|AAN|100|100|X
20210126|AAOI|4626|14787|X
20210126|AAON|100|100|X
20210126|AAP|1200|4399|X
20210126|AAPL|526757|883869|X
20210126|AAT|300|1600|X
20210126|AAWW|600|700|X
20210126|AAXJ|24530|26530|X
20210126|AB|600|1300|X
20210126|ABB|4200|7000|X
20210126|ABBV|3019|4200|X
20210126|ABC|1100|1300|X
20210126|ABCB|400|1000|X
20210126|ABCL|2100|5143|X
20210126|ABCM|300|300|X
20210126|ABEO|34641|40716|X
20210126|ABEV|712323|857485|X
20210126|ABG|0|400|X
20210126|ABIO|300|2128|X
20210126|ABM|500|700|X
20210126|ABMD|1002|1602|X
20210126|ABNB|30709|44109|X
20210126|ABR|800|900|X
20210126|ABT|2100|3200|X
20210126|ABUS|5255|8055|X
20210126|ACA|900|1000|X
20210126|ACACW|0|800|X
20210126|ACAD|1700|2400|X
20210126|ACB|13724|33931|X
20210126|ACBI|700|700|X
20210126|ACC|950|3958|X
20210126|ACCD|400|7710|X
20210126|ACCO|100|100|X
20210126|ACEL|200|200|X
20210126|ACER|0|600|X
20210126|ACET|200|300|X
20210126|ACEV|3300|7238|X
20210126|ACGL|7700|15600|X
20210126|ACHC|500|500|X
20210126|ACHV|4593|11286|X
20210126|ACI|7415|30167|X
20210126|ACIA|137|637|X
20210126|ACIC|200|400|X
20210126|ACIC=|100|300|X
20210126|ACIU|100|1200|X
20210126|ACIW|800|800|X
20210126|ACKIU|300|1000|X
20210126|ACLS|873|1373|X
20210126|ACM|2700|9106|X
20210126|ACMR|3649|5343|X
20210126|ACN|1391|2387|X
20210126|ACND|100|100|X
20210126|ACOR|400|5000|X
20210126|ACRE|200|300|X
20210126|ACRS|200|815|X
20210126|ACRX|65228|76067|X
20210126|ACST|7371|8071|X
20210126|ACTC|300|1216|X
20210126|ACTCW|400|500|X
20210126|ACTG|500|2500|X
20210126|ACWI|29964|32164|X
20210126|ACWV|1100|1100|X
20210126|ACWX|19630|27430|X
20210126|ACY|0|100|X
20210126|ADAP|1000|2200|X
20210126|ADBE|7081|10005|X
20210126|ADC|2500|6900|X
20210126|ADCT|1300|1400|X
20210126|ADERU|100|700|X
20210126|ADES|100|100|X
20210126|ADEX=|0|100|X
20210126|ADI|1797|2497|X
20210126|ADIL|0|2000|X
20210126|ADILW|200|200|X
20210126|ADM|10797|14966|X
20210126|ADMA|8550|11552|X
20210126|ADMP|5706|10071|X
20210126|ADMS|2400|3200|X
20210126|ADNT|2800|9300|X
20210126|ADOCR|600|600|X
20210126|ADP|7965|8762|X
20210126|ADPT|1200|4000|X
20210126|ADS|1200|2600|X
20210126|ADSK|2058|2958|X
20210126|ADT|32636|44036|X
20210126|ADTN|2200|6324|X
20210126|ADTX|4350|4750|X
20210126|ADUS|100|2340|X
20210126|ADV|300|300|X
20210126|ADVM|2874|3674|X
20210126|ADX|400|400|X
20210126|ADXN|100|100|X
20210126|ADXS|8600|17800|X
20210126|AEACU|0|600|X
20210126|AEE|1999|3199|X
20210126|AEFC|100|100|X
20210126|AEG|13199|15199|X
20210126|AEHL|600|1500|X
20210126|AEHR|800|900|X
20210126|AEIS|400|1291|X
20210126|AEL|500|800|X
20210126|AEM|1700|2900|X
20210126|AEMD|100|100|X
20210126|AEO|12600|16117|X
20210126|AEP|2825|5083|X
20210126|AEPPL|200|200|X
20210126|AER|2100|8100|X
20210126|AERI|4700|7098|X
20210126|AES|16435|69965|X
20210126|AESE|70381|80561|X
20210126|AEY|900|1500|X
20210126|AEZS|100|100|X
20210126|AFG|730|730|X
20210126|AFI|200|200|X
20210126|AFIB|749|1249|X
20210126|AFIN|1420|1420|X
20210126|AFINP|100|100|X
20210126|AFL|24028|27228|X
20210126|AFMD|1742|2842|X
20210126|AFRM|798|2645|X
20210126|AFYA|510|710|X
20210126|AG|26350|36064|X
20210126|AGC|600|700|X
20210126|AGCB|514|714|X
20210126|AGCO|700|2900|X
20210126|AGCUU|0|200|X
20210126|AGE|100|100|X
20210126|AGEN|20087|23487|X
20210126|AGFS|100|100|X
20210126|AGG|21041|28019|X
20210126|AGGY|2001|3701|X
20210126|AGI|8102|11502|X
20210126|AGIO|4000|5800|X
20210126|AGLE|100|100|X
20210126|AGNC|36741|53836|X
20210126|AGO|600|800|X
20210126|AGQ|100|300|X
20210126|AGR|1585|2085|X
20210126|AGRO|800|1300|X
20210126|AGRX|2789|6088|X
20210126|AGS|799|1299|X
20210126|AGYS|1100|1400|X
20210126|AHCO|400|600|X
20210126|AHH|300|1366|X
20210126|AHPI|500|1600|X
20210126|AHT|55325|57887|X
20210126|AHT-F|100|100|X
20210126|AI|1000|3499|X
20210126|AIA|0|1800|X
20210126|AIG|15764|20751|X
20210126|AIH|0|100|X
20210126|AIHS|800|3700|X
20210126|AIKI|55065|126751|X
20210126|AIM|10872|17267|X
20210126|AIMC|1020|1120|X
20210126|AIN|200|400|X
20210126|AINV|400|500|X
20210126|AIO|200|200|X
20210126|AIR|500|980|X
20210126|AIRC|4100|8505|X
20210126|AIRG|100|200|X
20210126|AIRI|600|800|X
20210126|AIRR|0|263|X
20210126|AIV|21928|24828|X
20210126|AIZ|1200|1500|X
20210126|AJAX|1400|1500|X
20210126|AJAX=|800|800|X
20210126|AJG|200|1625|X
20210126|AJRD|200|1511|X
20210126|AKAM|6244|9430|X
20210126|AKBA|29349|32849|X
20210126|AKER|1900|3100|X
20210126|AKICU|300|400|X
20210126|AKR|200|200|X
20210126|AKRO|155|355|X
20210126|AKTS|3200|6100|X
20210126|AKTX|100|200|X
20210126|AKUS|500|600|X
20210126|AL|1253|1253|X
20210126|ALB|2000|8122|X
20210126|ALBO|600|600|X
20210126|ALC|4932|6132|X
20210126|ALCO|0|100|X
20210126|ALDX|2426|2626|X
20210126|ALE|600|870|X
20210126|ALEC|3700|3800|X
20210126|ALEX|100|200|X
20210126|ALG|200|200|X
20210126|ALGM|1700|5200|X
20210126|ALGN|800|2100|X
20210126|ALGS|0|100|X
20210126|ALGT|100|200|X
20210126|ALIM|100|100|X
20210126|ALK|6432|7632|X
20210126|ALKS|1700|3500|X
20210126|ALL|200|3500|X
20210126|ALL-H|0|100|X
20210126|ALLE|400|1627|X
20210126|ALLK|400|3239|X
20210126|ALLO|1700|2100|X
20210126|ALLT|400|900|X
20210126|ALLY|21214|34234|X
20210126|ALLY-A|0|100|X
20210126|ALNA|17753|60961|X
20210126|ALNY|3500|4900|X
20210126|ALPN|200|300|X
20210126|ALRM|5284|5384|X
20210126|ALRN|21010|24710|X
20210126|ALSK|2630|7315|X
20210126|ALSN|1095|1195|X
20210126|ALT|600|10686|X
20210126|ALTR|200|200|X
20210126|ALTUU|100|200|X
20210126|ALV|2800|4900|X
20210126|ALVR|1200|15082|X
20210126|ALXN|3000|7000|X
20210126|ALXO|1200|1400|X
20210126|AM|12264|26096|X
20210126|AMAT|7621|17331|X
20210126|AMBA|2300|4362|X
20210126|AMBC|300|600|X
20210126|AMC|566436|881760|X
20210126|AMCI|3527|4748|X
20210126|AMCIW|800|800|X
20210126|AMCR|41119|63159|X
20210126|AMCX|22683|33891|X
20210126|AMD|337698|575601|X
20210126|AME|200|776|X
20210126|AMED|300|300|X
20210126|AMG|2900|5500|X
20210126|AMGN|3893|4593|X
20210126|AMH|5326|7626|X
20210126|AMJ|4032|8407|X
20210126|AMK|100|100|X
20210126|AMKR|600|1600|X
20210126|AMLP|18588|25028|X
20210126|AMN|200|300|X
20210126|AMP|1400|1600|X
20210126|AMPE|4205|7989|X
20210126|AMPY|200|1900|X
20210126|AMRC|1600|1700|X
20210126|AMRK|300|300|X
20210126|AMRN|39327|64632|X
20210126|AMRS|9000|20523|X
20210126|AMRX|2200|5185|X
20210126|AMS|300|500|X
20210126|AMSC|300|1200|X
20210126|AMT|3209|4609|X
20210126|AMTBB|100|100|X
20210126|AMTI|400|500|X
20210126|AMTX|25305|38198|X
20210126|AMWD|100|100|X
20210126|AMWL|15308|20990|X
20210126|AMX|10211|23655|X
20210126|AMZN|4000|10300|X
20210126|AN|1600|1900|X
20210126|ANAB|400|4088|X
20210126|ANDAR|200|500|X
20210126|ANDAW|100|100|X
20210126|ANDE|100|100|X
20210126|ANET|700|1100|X
20210126|ANF|2900|4400|X
20210126|ANGI|11069|52119|X
20210126|ANGL|2206|2606|X
20210126|ANGO|1522|3422|X
20210126|ANH|4836|6536|X
20210126|ANIK|0|100|X
20210126|ANIX|900|3074|X
20210126|ANNX|100|100|X
20210126|ANPC|1000|2600|X
20210126|ANSS|500|829|X
20210126|ANTM|400|1500|X
20210126|ANY|400|2000|X
20210126|AOD|1600|1700|X
20210126|AON|1505|1705|X
20210126|AONE|500|500|X
20210126|AOR|0|100|X
20210126|AOS|4900|5200|X
20210126|AOUT|0|100|X
20210126|APA|11715|17415|X
20210126|APAM|1410|3710|X
20210126|APD|200|620|X
20210126|APDN|14700|29133|X
20210126|APEN|0|400|X
20210126|APG|200|600|X
20210126|APH|851|4078|X
20210126|APHA|34145|48442|X
20210126|API|4436|19336|X
20210126|APLE|3061|3761|X
20210126|APLS|1400|3200|X
20210126|APM|0|200|X
20210126|APO|4200|7232|X
20210126|APOP|0|100|X
20210126|APPF|200|200|X
20210126|APPN|4710|11870|X
20210126|APPS|2100|5795|X
