DATE|SYMBOL|SHORT VOLUME|TOTAL VOLUME|MARKET
20210202|A|2400|3300|X
20210202|AA|25861|54867|X
20210202|AAC=|5900|77223|X
20210202|AACQ|11650|18122|X
20210202|AAIC|200|200|X
20210202|AAL|162637|240351|X
20210202|AAN|500|1100|X
20210202|AAOI|300|1000|X
20210202|AAON|0|100|X
20210202|AAP|300|1503|X
20210202|AAPL|412301|880716|X
20210202|AAT|300|300|X
20210202|AAU|9212|10312|X
20210202|AAXJ|14059|16059|X
20210202|AB|505|805|X
20210202|ABB|6800|10604|X
20210202|ABBV|4897|5800|X
20210202|ABC|1000|1700|X
20210202|ABCL|1500|6955|X
20210202|ABCM|100|100|X
20210202|ABEO|6076|9076|X
20210202|ABEV|1181011|1305934|X
20210202|ABG|500|700|X
20210202|ABM|0|500|X
20210202|ABMD|700|800|X
20210202|ABNB|7589|10399|X
20210202|ABR|400|1200|X
20210202|ABST|0|100|X
20210202|ABT|4653|9769|X
20210202|ABUS|9229|19472|X
20210202|ACAC|17949|36845|X
20210202|ACACU|1100|2085|X
20210202|ACACW|0|200|X
20210202|ACAD|2500|2800|X
20210202|ACB|21149|72135|X
20210202|ACBI|100|100|X
20210202|ACC|1643|2043|X
20210202|ACCD|1700|2300|X
20210202|ACCO|300|400|X
20210202|ACEL|300|1900|X
20210202|ACER|100|300|X
20210202|ACET|0|400|X
20210202|ACEV|4900|7746|X
20210202|ACEVW|200|1500|X
20210202|ACGL|3400|9630|X
20210202|ACHC|400|500|X
20210202|ACHV|0|161|X
20210202|ACI|22100|24800|X
20210202|ACIA|1800|1900|X
20210202|ACIU|300|506|X
20210202|ACIW|800|1500|X
20210202|ACLS|3741|4541|X
20210202|ACM|1600|3500|X
20210202|ACMR|825|2419|X
20210202|ACN|400|700|X
20210202|ACOR|600|1000|X
20210202|ACP|400|400|X
20210202|ACRS|4134|5759|X
20210202|ACRX|8652|18408|X
20210202|ACST|7767|9058|X
20210202|ACTC|1700|6884|X
20210202|ACTCW|500|1700|X
20210202|ACTG|2295|4582|X
20210202|ACV|100|100|X
20210202|ACWI|70270|81988|X
20210202|ACWV|200|1847|X
20210202|ACWX|4097|9113|X
20210202|ACY|600|900|X
20210202|ADAP|1500|5700|X
20210202|ADBE|1535|2274|X
20210202|ADC|1100|3100|X
20210202|ADCT|0|100|X
20210202|ADES|500|500|X
20210202|ADEX=|0|100|X
20210202|ADI|2326|4250|X
20210202|ADM|29151|30251|X
20210202|ADMA|8626|21699|X
20210202|ADMP|62256|110656|X
20210202|ADMS|600|900|X
20210202|ADNT|2270|3570|X
20210202|ADP|2544|4019|X
20210202|ADPT|1573|3655|X
20210202|ADS|4598|9820|X
20210202|ADSK|1000|1400|X
20210202|ADT|13400|18200|X
20210202|ADTN|200|400|X
20210202|ADTX|0|1700|X
20210202|ADUS|600|600|X
20210202|ADV|2400|2700|X
20210202|ADVM|2000|2600|X
20210202|ADX|600|700|X
20210202|ADXS|0|477|X
20210202|AEACU|170|32775|X
20210202|AEE|300|300|X
20210202|AEF|100|200|X
20210202|AEG|50041|57141|X
20210202|AEGN|100|100|X
20210202|AEHL|200|200|X
20210202|AEIS|200|2200|X
20210202|AEM|3900|4600|X
20210202|AEMD|300|900|X
20210202|AEO|20700|25400|X
20210202|AEP|3800|9700|X
20210202|AEPPL|100|100|X
20210202|AER|5700|20466|X
20210202|AERI|1800|3600|X
20210202|AES|13393|30974|X
20210202|AESE|5585|14751|X
20210202|AEYE|0|400|X
20210202|AEZS|81192|113345|X
20210202|AFC|0|100|X
20210202|AFG|100|100|X
20210202|AFIB|2370|3370|X
20210202|AFIN|300|300|X
20210202|AFL|9200|10800|X
20210202|AFMD|3500|4500|X
20210202|AFRM|3600|4300|X
20210202|AFYA|100|100|X
20210202|AG|27183|82939|X
20210202|AGBA|0|100|X
20210202|AGCO|400|835|X
20210202|AGE|0|200|X
20210202|AGEN|29689|36289|X
20210202|AGFS|300|300|X
20210202|AGFY|421|521|X
20210202|AGG|93662|95022|X
20210202|AGGY|100|500|X
20210202|AGI|11700|21802|X
20210202|AGIO|1960|5937|X
20210202|AGNC|52315|80073|X
20210202|AGO|300|400|X
20210202|AGQ|5100|10785|X
20210202|AGR|1100|1692|X
20210202|AGRO|1500|1700|X
20210202|AGRX|2750|5950|X
20210202|AGS|100|500|X
20210202|AGTC|2425|17973|X
20210202|AGYS|100|100|X
20210202|AHC|200|200|X
20210202|AHCO|4051|6051|X
20210202|AHH|200|300|X
20210202|AHPI|200|12300|X
20210202|AHT|21424|26924|X
20210202|AI|11300|17200|X
20210202|AIA|600|1600|X
20210202|AIF|0|100|X
20210202|AIG|19771|25971|X
20210202|AIHS|3958|6678|X
20210202|AIKI|11882|17484|X
20210202|AIM|18775|28975|X
20210202|AIMC|300|500|X
20210202|AIN|248|248|X
20210202|AINV|400|600|X
20210202|AIO|0|200|X
20210202|AIR|300|1000|X
20210202|AIRC|6845|19559|X
20210202|AIRG|300|400|X
20210202|AIRI|200|200|X
20210202|AIRTW|100|100|X
20210202|AIT|100|300|X
20210202|AIV|59160|67946|X
20210202|AIZ|408|508|X
20210202|AJAX|0|120|X
20210202|AJG|300|300|X
20210202|AJRD|699|899|X
20210202|AKAM|1600|3700|X
20210202|AKBA|61921|73195|X
20210202|AKER|0|142|X
20210202|AKICU|0|300|X
20210202|AKR|0|100|X
20210202|AKRO|1000|2200|X
20210202|AKTS|2804|11358|X
20210202|AL|1000|2600|X
20210202|ALACW|100|100|X
20210202|ALB|1153|3309|X
20210202|ALBO|0|100|X
20210202|ALC|1100|1400|X
20210202|ALDX|4131|6031|X
20210202|ALE|100|100|X
20210202|ALEC|2000|3933|X
20210202|ALG|300|300|X
20210202|ALGM|1100|3100|X
20210202|ALGN|800|1100|X
20210202|ALGS|200|200|X
20210202|ALGT|100|100|X
20210202|ALJJ|400|500|X
20210202|ALK|2500|5100|X
20210202|ALKS|3800|4400|X
20210202|ALL|600|600|X
20210202|ALLE|0|100|X
20210202|ALLK|448|908|X
20210202|ALLO|1864|3664|X
20210202|ALLT|632|4032|X
20210202|ALLY|12796|18396|X
20210202|ALNA|12922|20367|X
20210202|ALNY|300|400|X
20210202|ALPN|100|200|X
20210202|ALRM|700|1301|X
